Grid,Year,Rx1day,Rx5day,R5mm,R10mm,R20mm,R50mm,CDD,CWD,R95p,R99p,SDII
100,2021,46.0662759802635,128.670600332266,176,123,49,0,14,12,88.1127240906608,0,15.1450223933342
100,2022,69.8793356743445,108.972390736588,162,98,34,2,25,26,186.466460817839,137.815652162757,13.4018248697975
100,2023,58.408671618026,197.073064671363,181,136,61,2,14,22,253.565468547701,0,16.0443500015751
100,2024,57.2105950238997,162.096676427169,129,82,31,3,27,16,259.542187389869,0,13.1875566531778
101,1981,82.1359116453513,107.033628370928,100,53,19,1,31,10,202.060396119248,128.756876523497,12.3524248599043
101,1982,36.2748611034673,75.0048954667508,91,45,15,0,43,9,167.932049569164,0,11.8071352303346
101,1983,50.8999667717738,84.3563312585463,61,40,11,1,29,9,232.360011146289,50.8999667717738,12.7065455474451
101,1984,66.1593246352382,149.646095571483,115,70,25,2,31,21,374.108420554826,165.375573997013,12.6176071848058
101,1985,42.7618381697118,93.5809792708697,86,64,16,0,24,8,142.683040694346,0,12.2734182708978
101,1986,87.2980299087556,140.519926537175,81,47,20,1,34,20,264.787916243068,87.2980299087556,12.5057440416276
101,1987,35.351586322322,85.5950221679213,94,59,10,0,21,8,69.4044801463154,0,10.4138244096022
101,1988,40.8860550664159,98.3600555792692,108,59,21,0,26,6,148.684186355867,0,12.2322125442403
101,1989,51.2208163752636,102.441630993373,88,37,9,1,17,8,200.774151575806,51.2208163752636,10.619141692565
101,1990,89.1059195808427,129.995617448282,87,65,24,4,41,9,390.793810560202,285.94598303526,16.5076725825246
101,1991,64.7250418181463,106.916806479849,80,49,14,1,32,6,256.510112353195,64.7250418181463,13.5885310477366
101,1992,92.3297097001103,176.390857569972,74,49,17,2,47,11,408.659941148934,198.38835360576,14.7604386030765
101,1993,80.3458568931089,180.651250715216,99,68,20,4,19,11,377.437363700169,244.24186940692,15.1199205262031
101,1994,94.8308450871823,149.587027506008,90,59,21,3,24,6,570.647413565895,251.35637811548,16.1527596537351
101,1995,58.1481917621637,141.123978351842,100,62,29,2,28,13,289.945992288296,156.228393136038,13.9976628193302
101,1996,65.9440351655644,170.853125938107,96,65,28,2,27,9,502.773546546543,169.895470148328,14.3893712956539
101,1997,62.5452368231761,174.299132237293,99,75,22,1,43,7,487.474465429516,157.221702086343,15.8768635176316
101,1998,42.5019192885288,132.967795489278,102,49,18,0,28,10,106.874712633273,0,11.3046216558301
101,1999,36.8033355721063,99.0355374259892,132,67,16,0,18,15,133.709650284376,0,11.468138394203
